algo,params,variance,train_fold,test_fold,train,test,confusion,mean_matrix
SGD,"{'alpha': 0.01, 'loss': 'perceptron', 'penalty': 'l1'}",1,"0.7018,0.7109,0.6057,0.5525,0.5509","0.6946,0.7121,0.6012,0.5467,0.5633",0.6244,0.6236,"[[600   0   0   0]
 [  0   0 150 450]
 [  0   0 579  21]
 [  0   0  72 528]]

[[599   0   0   1]
 [  0 164 291 145]
 [  0  50 530  20]
 [  0 180 217 203]]

[[600   0   0   0]
 [  0 317  10 273]
 [  0 563  12  25]
 [  0 186   0 414]]

[[600   0   0   0]
 [  0 494   0 106]
 [  0 572   0  28]
 [  0 435   0 165]]

[[600   0   0   0]
 [  0   0 492 108]
 [  0   0 580  20]
 [  0   0 429 171]]

","[[599.8 0.0 0.0 0.2]
 [0.0 195.0 188.6 216.4]
 [0.0 237.0 340.2 22.8]
 [0.0 160.2 143.6 296.2]]"
DT,"{'max_depth': 15, 'min_samples_leaf': 1}",1,"0.9282,0.9347,0.9149,0.9316,0.9369","0.8554,0.8788,0.8488,0.8721,0.8608",0.9293,0.8632,"[[600   0   0   0]
 [  0 379   3 218]
 [  0   3 595   2]
 [  0 122   1 477]]

[[599   1   0   0]
 [  0 435   3 162]
 [  0   1 598   1]
 [  0 117   0 483]]

[[600   0   0   0]
 [  0 422   3 175]
 [  0   2 595   3]
 [  0 182   2 416]]

[[600   0   0   0]
 [  1 451   5 143]
 [  0   2 593   5]
 [  1 150   2 447]]

[[600   0   0   0]
 [  0 455   3 142]
 [  0   9 590   1]
 [  0 184   2 414]]

","[[599.8 0.2 0.0 0.0]
 [0.2 428.4 3.4 168.0]
 [0.0 3.4 594.2 2.4]
 [0.2 151.0 1.4 447.4]]"
ADA,"{'base_estimator': DecisionTreeClassifier(max_depth=4), 'n_estimators': 100}",1,"0.7718,0.7844,0.7899,0.7605,0.7972","0.7671,0.7775,0.7771,0.7775,0.775",0.7808,0.7748,"[[600   0   0   0]
 [  0 200   1 399]
 [  0   3 597   0]
 [  0 150   2 448]]

[[599   1   0   0]
 [  0 245   1 354]
 [  0   2 598   0]
 [  0 270   0 330]]

[[600   0   0   0]
 [  0 168   1 431]
 [  0   3 597   0]
 [  0 166   0 434]]

[[600   0   0   0]
 [  1 173   2 424]
 [  0   3 597   0]
 [  1 120   0 479]]

[[600   0   0   0]
 [  0 292   2 306]
 [  1   2 597   0]
 [  1 222   2 375]]

","[[599.8 0.2 0.0 0.0]
 [0.2 215.6 1.4 382.8]
 [0.2 2.6 597.2 0.0]
 [0.4 185.6 0.8 413.2]]"
GBoost,"{'max_depth': 3, 'n_estimators': 250}",1,"0.9266,0.9274,0.9295,0.9292,0.9301","0.8938,0.8896,0.8812,0.8904,0.8779",0.9286,0.8866,"[[600   0   0   0]
 [  0 479   1 120]
 [  0   1 599   0]
 [  0 131   2 467]]

[[599   1   0   0]
 [  0 477   1 122]
 [  0   3 596   1]
 [  0 137   1 462]]

[[600   0   0   0]
 [  0 482   3 115]
 [  0   1 597   2]
 [  0 168   0 432]]

[[600   0   0   0]
 [  1 469   5 125]
 [  0   2 598   0]
 [  1 135   2 462]]

[[600   0   0   0]
 [  0 454   4 142]
 [  0   1 598   1]
 [  0 141   4 455]]

","[[599.8 0.2 0.0 0.0]
 [0.2 472.2 2.8 124.8]
 [0.0 1.6 597.6 0.8]
 [0.2 142.4 1.8 455.6]]"
Rand_F,"{'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 250}",1,"0.792,0.7948,0.7894,0.7879,0.7875","0.7825,0.7938,0.7858,0.7858,0.7938",0.7903,0.7883,"[[600   0   0   0]
 [  0 149  11 440]
 [  0   0 600   0]
 [  0  71   7 522]]

[[599   0   1   0]
 [  0 175  10 415]
 [  0   0 600   0]
 [  0  79   7 514]]

[[600   0   0   0]
 [  0 174  13 413]
 [  0   0 600   0]
 [  0  78  11 511]]

[[600   0   0   0]
 [  0 176  13 411]
 [  0   1 598   1]
 [  0  68  12 520]]

[[600   0   0   0]
 [  0 177  11 412]
 [  0   0 600   0]
 [  0  61  11 528]]

","[[599.8 0.0 0.2 0.0]
 [0.0 170.2 11.6 418.2]
 [0.0 0.2 599.6 0.2]
 [0.0 71.4 9.6 519.0]]"
SVM,"{'C': 100, 'degree': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,"0.7429,0.7436,0.7332,0.7511,0.7535","0.7438,0.7442,0.7371,0.7438,0.7412",0.7449,0.742,"[[600   0   0   0]
 [  0 267  24 309]
 [  0  11 588   1]
 [  0 201  17 382]]

[[599   0   1   0]
 [  0 294  15 291]
 [  0  13 582   5]
 [  0 190  11 399]]

[[600   0   0   0]
 [  0 303  18 279]
 [  0  10 585   5]
 [  0 208  12 380]]

[[600   0   0   0]
 [  0 305  17 278]
 [  0  17 583   0]
 [  0 221  19 360]]

[[600   0   0   0]
 [  0 298  18 284]
 [  1  19 580   0]
 [  0 182  15 403]]

","[[599.8 0.0 0.2 0.0]
 [0.0 293.4 18.4 288.2]
 [0.2 14.0 583.6 2.2]
 [0.0 200.4 14.8 384.8]]"
SGD,"{'alpha': 0.0001, 'loss': 'perceptron', 'penalty': 'l1'}",0,"0.7098,0.7053,0.5114,0.5904,0.6853","0.7183,0.7117,0.5133,0.5858,0.6838",0.6404,0.6426,"[[594   0   6   0]
 [  3 309  11 277]
 [  2 569   8  21]
 [  1 252   1 346]]

[[593   0   7   0]
 [  5  47  41 507]
 [  4 135 440  21]
 [  0  56  14 530]]

[[584   0  16   0]
 [  0  52 458  90]
 [  0   2 573  25]
 [  0  56 431 113]]

[[590   0  10   0]
 [  0 351  22 227]
 [  1 548  23  28]
 [  0 314   4 282]]

[[594   0   6   0]
 [  0  19 559  22]
 [  0   6 573  21]
 [  0  11 567  22]]

","[[591.0 0.0 9.0 0.0]
 [1.6 155.6 218.2 224.6]
 [1.4 252.0 323.4 23.2]
 [0.2 137.8 203.4 258.6]]"
DT,"{'max_depth': 15, 'min_samples_leaf': 10}",0,"0.895,0.8979,0.8838,0.8972,0.9047","0.865,0.8675,0.8446,0.8767,0.8608",0.8957,0.8629,"[[599   0   1   0]
 [  0 403   4 193]
 [  0   2 598   0]
 [  0 119   5 476]]

[[598   0   1   1]
 [  0 452   0 148]
 [  0   4 596   0]
 [  0 159   3 438]]

[[600   0   0   0]
 [  0 437   5 158]
 [  0   5 593   2]
 [  0 203   1 396]]

[[600   0   0   0]
 [  0 450   8 142]
 [  0   4 594   2]
 [  0 141   3 456]]

[[600   0   0   0]
 [  0 459   3 138]
 [  0   5 595   0]
 [  0 182   5 413]]

","[[599.4 0.0 0.4 0.2]
 [0.0 440.2 4.0 155.8]
 [0.0 4.0 595.2 0.8]
 [0.0 160.8 3.4 435.8]]"
ADA,"{'base_estimator': DecisionTreeClassifier(max_depth=4), 'n_estimators': 250}",0,"0.7766,0.7907,0.7735,0.7758,0.7828","0.7596,0.7742,0.7658,0.7717,0.7617",0.7799,0.7666,"[[600   0   0   0]
 [  0 191   1 408]
 [  0   1 599   0]
 [  0 167   1 432]]

[[599   1   0   0]
 [  0 265   1 334]
 [  0   4 593   3]
 [  0 244   0 356]]

[[599   1   0   0]
 [  0 328   1 271]
 [  0   2 598   0]
 [  0 356   1 243]]

[[600   0   0   0]
 [  1 166   1 432]
 [  0   1 596   3]
 [  1 133   2 464]]

[[600   0   0   0]
 [  0 335   4 261]
 [  0   1 599   0]
 [  0 280   3 317]]

","[[599.6 0.4 0.0 0.0]
 [0.2 257.0 1.6 341.2]
 [0.0 1.8 597.0 1.2]
 [0.2 236.0 1.4 362.4]]"
GBoost,"{'max_depth': 4, 'n_estimators': 250}",0,"0.9508,0.9483,0.9477,0.9519,0.9528","0.8875,0.8821,0.885,0.8812,0.8792",0.9503,0.883,"[[600   0   0   0]
 [  0 480   1 119]
 [  0   1 599   0]
 [  0 146   2 452]]

[[599   1   0   0]
 [  0 464   1 135]
 [  0   2 598   0]
 [  0 137   2 461]]

[[600   0   0   0]
 [  0 488   2 110]
 [  0   3 597   0]
 [  0 162   0 438]]

[[600   0   0   0]
 [  1 469   2 128]
 [  0   2 597   1]
 [  1 148   2 449]]

[[600   0   0   0]
 [  0 464   4 132]
 [  0   0 600   0]
 [  0 150   4 446]]

","[[599.8 0.2 0.0 0.0]
 [0.2 473.0 2.0 124.8]
 [0.0 1.6 598.2 0.2]
 [0.2 148.6 2.0 449.2]]"
