algo,params,variance,train_fold,test_fold,train,test,confusion,mean_confusion,feat_importances,mean_feat_importances
SGD,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l1'}",1,"0.7749,0.7693,0.7397,0.7381,0.7418","0.7688,0.7767,0.7417,0.7417,0.7458",0.7528,0.7549,"[[589   4   6   1]
 [  1 588   7   4]
 [  8   2 557  33]
 [  0 574  25   1]]

[[587   1  11   1]
 [  1 348  15 236]
 [  3  46 551   0]
 [  0 272  12 316]]

[[595   0   2   3]
 [  0   0   3 597]
 [  8   0 587   5]
 [  1   0   2 597]]

[[582   0  17   1]
 [  4 560  13  23]
 [  0   0 534  66]
 [  0 548  34  18]]

[[590   5   3   2]
 [  0 569   1  30]
 [  6   0 590   4]
 [  1 571   3  25]]

","[[5.886e+02 2.000e+00 7.800e+00 1.600e+00]
 [1.200e+00 4.130e+02 7.800e+00 1.780e+02]
 [5.000e+00 9.600e+00 5.638e+02 2.160e+01]
 [4.000e-01 3.930e+02 1.520e+01 1.914e+02]]",,
DT,"{'max_depth': 12, 'min_samples_leaf': 1}",1,"0.8841,0.8818,0.8773,0.8826,0.8807","0.8146,0.8204,0.8262,0.8188,0.8112",0.8813,0.8182,"[[596   3   0   1]
 [  0 364   1 235]
 [  0   0 597   3]
 [  0 202   1 397]]

[[600   0   0   0]
 [  0 379   0 221]
 [  1   0 599   0]
 [  0 215   2 383]]

[[600   0   0   0]
 [  0 389   1 210]
 [  0   2 596   2]
 [  1 205   0 394]]

[[600   0   0   0]
 [  1 367   1 231]
 [  0   0 600   0]
 [  0 201   1 398]]

[[600   0   0   0]
 [  1 359   1 239]
 [  0   0 598   2]
 [  1 203   2 394]]

","[[5.992e+02 6.000e-01 0.000e+00 2.000e-01]
 [4.000e-01 3.716e+02 8.000e-01 2.272e+02]
 [2.000e-01 4.000e-01 5.980e+02 1.400e+00]
 [4.000e-01 2.052e+02 1.200e+00 3.932e+02]]","[0.02940903 0.01816045 0.00091822 0.05085235 0.00273326 0.00536124
 0.01069496 0.42107229 0.00292539 0.40936045 0.01122983 0.02949317
 0.00778936]

[0.02335947 0.01723049 0.00202562 0.05196674 0.0038684  0.00402824
 0.01162436 0.41820736 0.00844961 0.41282074 0.01150807 0.02813334
 0.00677756]

[0.02680636 0.01536035 0.00288221 0.05515086 0.00356213 0.00271141
 0.00632246 0.42394823 0.00987192 0.40996947 0.01064825 0.02569906
 0.00706729]

[0.02684491 0.01707675 0.00092288 0.05294309 0.00550879 0.00170867
 0.00764912 0.42113343 0.00425052 0.40658946 0.01419932 0.03162068
 0.00955238]

[0.02177575 0.01651243 0.00415528 0.04961233 0.00322809 0.00110005
 0.00966964 0.42536687 0.00249675 0.41264566 0.0116145  0.03203646
 0.00978619]

","[0.0256391  0.01686809 0.00218084 0.05210507 0.00378013 0.00298192
 0.00919211 0.42194564 0.00559884 0.41027716 0.01183999 0.02939654
 0.00819456]"
ADA,"{'base_estimator': DecisionTreeClassifier(max_depth=4), 'n_estimators': 100}",1,"0.7735,0.7899,0.7868,0.7778,0.7802","0.7679,0.7829,0.7796,0.7762,0.7775",0.7816,0.7768,"[[597   3   0   0]
 [  0 498   0 102]
 [  0   0 600   0]
 [  0 451   0 149]]

[[600   0   0   0]
 [  0 292   0 308]
 [  1   0 599   0]
 [  0 287   0 313]]

[[600   0   0   0]
 [  0 367   0 233]
 [  0   1 597   2]
 [  0 366   0 234]]

[[600   0   0   0]
 [  0 266   0 334]
 [  0   0 600   0]
 [  0 216   0 384]]

[[600   0   0   0]
 [  1 358   0 241]
 [  0   0 600   0]
 [  1 358   0 241]]

","[[5.994e+02 6.000e-01 0.000e+00 0.000e+00]
 [2.000e-01 3.562e+02 0.000e+00 2.436e+02]
 [2.000e-01 2.000e-01 5.992e+02 4.000e-01]
 [2.000e-01 3.356e+02 0.000e+00 2.642e+02]]","[0.08146891 0.12212188 0.06388625 0.12435048 0.02523308 0.03047257
 0.03418973 0.17229954 0.0158679  0.11454146 0.06336481 0.10440145
 0.04780195]

[0.04760438 0.08096008 0.11592133        nan 0.02500299 0.02940136
        nan 0.13340729 0.02827368 0.16220049 0.09164038 0.08507739
 0.07339016]

[0.04901385 0.08000713 0.0804049  0.08065541 0.03071929 0.0547203
 0.0501245  0.11231561 0.0228593  0.17478322 0.11307283 0.08542759
 0.06589607]

[0.03603776 0.06773976 0.09191683 0.07658493        nan 0.052439
 0.02694613        nan 0.03569678 0.16313501 0.08707449 0.10072677
 0.08043434]

[0.06583427 0.07247453        nan 0.07348119 0.02927726 0.06941869
 0.02825662 0.11466152 0.03102962 0.14981429 0.11284579 0.09215677
 0.06496601]

",
GBoost,"{'max_depth': 2, 'n_estimators': 1000}",1,"0.9072,0.9078,0.9058,0.9055,0.9092","0.835,0.825,0.8358,0.8379,0.8254",0.9071,0.8318,"[[599   1   0   0]
 [  0 400   0 200]
 [  0   0 600   0]
 [  0 193   2 405]]

[[598   0   2   0]
 [  0 404   0 196]
 [  1   0 596   3]
 [  0 219   1 380]]

[[600   0   0   0]
 [  0 402   0 198]
 [  0   2 598   0]
 [  0 193   1 406]]

[[600   0   0   0]
 [  0 403   0 197]
 [  0   0 600   0]
 [  0 191   1 408]]

[[600   0   0   0]
 [  1 387   0 212]
 [  0   0 600   0]
 [  1 205   0 394]]

","[[5.994e+02 2.000e-01 4.000e-01 0.000e+00]
 [2.000e-01 3.992e+02 0.000e+00 2.006e+02]
 [2.000e-01 4.000e-01 5.988e+02 6.000e-01]
 [2.000e-01 2.002e+02 1.000e+00 3.986e+02]]","[0.04770078 0.00905544 0.00105677 0.22203478 0.00554498 0.00162716
 0.00090724 0.37498367 0.00397137 0.28521997 0.01363502 0.02646038
 0.00780244]

[0.04030209 0.00925461 0.00048442 0.2377806  0.00500438 0.0025743
 0.00216918 0.36866107 0.00148678 0.28499741 0.01357087 0.0273781
 0.00633618]

[0.03814115 0.00841862 0.00067672 0.23817103 0.00640262 0.00191572
 0.00185972 0.37017026 0.00346178 0.28518571 0.01228433 0.0259197
 0.00739265]

[0.05793339 0.00769422 0.0005293  0.21833234 0.00529118 0.00128483
 0.00208122 0.37160041 0.00227968 0.28506059 0.01589121 0.02615915
 0.00586246]

[0.05651993 0.00907701 0.00045852 0.21763194 0.00641944 0.00073731
 0.00379227 0.3688717  0.00162805 0.28511206 0.01271293 0.03200515
 0.00503368]

",
Rand_F,"{'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100}",1,"0.8167,0.8133,0.8153,0.8154,0.8205","0.8112,0.8204,0.8292,0.8138,0.7896",0.8162,0.8128,"[[599   1   0   0]
 [  0 340   6 254]
 [  0   0 600   0]
 [  0 193   2 405]]

[[600   0   0   0]
 [  0 362   3 235]
 [  1   0 599   0]
 [  0 195   4 401]]

[[600   0   0   0]
 [  0 377   4 219]
 [  0   0 600   0]
 [  0 193   3 404]]

[[599   1   0   0]
 [  0 369   4 227]
 [  0   0 600   0]
 [  0 214   3 383]]

[[600   0   0   0]
 [  1 316   1 282]
 [  0   0 600   0]
 [  1 220   2 377]]

","[[5.996e+02 4.000e-01 0.000e+00 0.000e+00]
 [2.000e-01 3.528e+02 3.600e+00 2.434e+02]
 [2.000e-01 0.000e+00 5.998e+02 0.000e+00]
 [2.000e-01 2.030e+02 2.800e+00 3.940e+02]]","[0.09817418 0.08880196 0.0034571  0.09172015 0.02079028 0.0882791
 0.00670236 0.17625773 0.00636142 0.16683011 0.07088769 0.13198537
 0.04975254]

[0.09018871 0.06591697 0.00310129 0.08774934 0.0029669  0.10469906
 0.0061899  0.16923556 0.01078217 0.18222195 0.11669263 0.09251106
 0.06774444]

[0.11715861 0.10517469 0.00143787 0.09698579 0.01833573 0.07922635
 0.00675715 0.16355953 0.00404348 0.1425052  0.06291573 0.11669089
 0.08520898]

[0.1270582  0.08179462 0.00380887 0.05869734 0.01639974 0.10812767
 0.00336201 0.16905351 0.00730634 0.11361479 0.08678386 0.15577782
 0.06821523]

[0.09058671 0.10988371 0.0064828  0.10755138 0.00575717 0.12539464
 0.00751847 0.16284652 0.00582251 0.13429905 0.07644516 0.11506882
 0.05234305]

",
SVM,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",1,"0.7656,0.7684,0.7559,0.7675,0.759","0.7692,0.7771,0.7662,0.7567,0.7608",0.7633,0.766,"[[595   3   1   1]
 [  0 277   1 322]
 [  0   0 600   0]
 [  0 215   1 384]]

[[595   1   1   3]
 [  0 289   4 307]
 [  1   0 599   0]
 [  0 210   1 389]]

[[597   0   1   2]
 [  0 278   3 319]
 [  1   0 599   0]
 [  0 188   2 410]]

[[596   1   1   2]
 [  0 287   1 312]
 [  0   0 600   0]
 [  0 217   1 382]]

[[596   0   1   3]
 [  0 257   1 342]
 [  0   0 600   0]
 [  0 223   2 375]]

","[[5.958e+02 1.000e+00 1.000e+00 2.200e+00]
 [0.000e+00 2.776e+02 2.000e+00 3.204e+02]
 [4.000e-01 0.000e+00 5.996e+02 0.000e+00]
 [0.000e+00 2.106e+02 1.400e+00 3.880e+02]]",,
SGD,"{'alpha': 0.001, 'loss': 'log', 'penalty': 'l1'}",0,"0.7235,0.7277,0.7371,0.757,0.7304","0.7242,0.7279,0.7338,0.7538,0.7338",0.7351,0.7347,"[[566   3  31   0]
 [ 14 574  12   0]
 [  0   0 600   0]
 [  5 583  12   0]]

[[569   1  30   0]
 [ 11 572  17   0]
 [  0   0 600   0]
 [  1 577  22   0]]

[[566   4  30   0]
 [ 18 559  23   0]
 [  0   0 600   0]
 [  6 572  22   0]]

[[565   3  32   0]
 [ 15 483  19  83]
 [  0   0 600   0]
 [  7 435  14 144]]

[[568   0  29   3]
 [ 12 357  21 210]
 [  0   0 600   0]
 [  5 344  21 230]]

","[[566.8   2.2  30.4   0.6]
 [ 14.  509.   18.4  58.6]
 [  0.    0.  600.    0. ]
 [  4.8 502.2  18.2  74.8]]",,
DT,"{'max_depth': 8, 'min_samples_leaf': 5}",0,"0.8384,0.8383,0.8318,0.8355,0.843","0.8071,0.8242,0.8317,0.8192,0.8025",0.8374,0.8169,"[[596   3   0   1]
 [  0 319   1 280]
 [  0   0 600   0]
 [  0 176   2 422]]

[[600   0   0   0]
 [  1 387   1 211]
 [  1   0 598   1]
 [  0 206   1 393]]

[[600   0   0   0]
 [  1 410   2 187]
 [  0   2 593   5]
 [  0 207   0 393]]

[[599   0   0   1]
 [  0 354   1 245]
 [  0   0 600   0]
 [  0 185   3 412]]

[[598   2   0   0]
 [  1 361   2 236]
 [  0   1 597   2]
 [  1 230   0 369]]

","[[5.986e+02 1.000e+00 0.000e+00 4.000e-01]
 [6.000e-01 3.662e+02 1.400e+00 2.318e+02]
 [2.000e-01 6.000e-01 5.976e+02 1.600e+00]
 [2.000e-01 2.008e+02 1.200e+00 3.978e+02]]","[0.01002697 0.41820782 0.00078102 0.03880928 0.00523323 0.00066483
 0.00412901 0.49130538 0.02841655 0.00242591]

[0.00779262 0.42216624 0.0005242  0.03167857 0.0054681  0.
 0.00758627 0.49093743 0.02741419 0.00643238]

[0.00706985 0.42276889 0.00279975 0.02820147 0.00527322 0.00276888
 0.0099197  0.49237663 0.02700504 0.00181655]

[6.55611007e-03 4.17889768e-01 2.67327200e-04 3.60898555e-02
 1.84873571e-03 3.34261202e-03 1.05205798e-02 4.93304716e-01
 2.85947240e-02 1.58557150e-03]

[0.00421057 0.42413982 0.00227386 0.03723349 0.00230585 0.00286827
 0.0041736  0.48607207 0.03298457 0.00373791]

","[0.00713122 0.42103451 0.00132923 0.03440253 0.00402583 0.00192892
 0.00726583 0.49079925 0.02888301 0.00319966]"
ADA,"{'base_estimator': DecisionTreeClassifier(max_depth=4), 'n_estimators': 50}",0,"0.7601,0.7711,0.7652,0.7864,0.7695","0.7579,0.7612,0.7575,0.7771,0.7517",0.7705,0.7611,"[[597   2   0   1]
 [  0 266   1 333]
 [  0   0 600   0]
 [  0 224   0 376]]

[[600   0   0   0]
 [  0 414   0 186]
 [  1   2 597   0]
 [  0 328   2 270]]

[[600   0   0   0]
 [  0 382   0 218]
 [  0   2 596   2]
 [  0 266   0 334]]

[[600   0   0   0]
 [  0 274   0 326]
 [  0   0 600   0]
 [  0 286   1 313]]

[[600   0   0   0]
 [  1 435   0 164]
 [  0   2 598   0]
 [  1 404   0 195]]

","[[5.994e+02 4.000e-01 0.000e+00 2.000e-01]
 [2.000e-01 3.542e+02 2.000e-01 2.454e+02]
 [2.000e-01 1.200e+00 5.982e+02 4.000e-01]
 [2.000e-01 3.016e+02 6.000e-01 2.976e+02]]","[0.08369953 0.15292857 0.04521258 0.07362094 0.02581185 0.0774773
 0.06572772 0.28312713 0.11298201 0.07941237]

[0.09856729 0.09728354 0.07452718 0.08212231 0.05012969 0.07218249
 0.07702285 0.20297254 0.14406661 0.10112551]

[0.06790693 0.14553986 0.08908891 0.07066095 0.01920379 0.06982426
 0.06886087 0.22965474 0.13002415 0.10923554]

[       nan 0.13077884 0.03421675        inf 0.02629678        nan
 0.05309053 0.19794646 0.1469352  0.16252627]

[0.05931818 0.13743732 0.07103863 0.07734187 0.04557228 0.04363787
 0.07289903 0.20232398 0.17447151 0.11595932]

",
GBoost,"{'max_depth': 3, 'n_estimators': 250}",0,"0.8972,0.894,0.8928,0.8946,0.8967","0.8308,0.8288,0.8429,0.8379,0.8233",0.8951,0.8327,"[[599   1   0   0]
 [  0 394   2 204]
 [  0   0 600   0]
 [  0 199   2 399]]

[[600   0   0   0]
 [  0 413   0 187]
 [  1   0 599   0]
 [  0 211   2 387]]

[[600   0   0   0]
 [  0 406   1 193]
 [  0   3 596   1]
 [  0 180   0 420]]

[[600   0   0   0]
 [  0 415   1 184]
 [  0   0 600   0]
 [  0 198   2 400]]

[[600   0   0   0]
 [  1 376   1 222]
 [  0   0 600   0]
 [  1 199   1 399]]

","[[5.998e+02 2.000e-01 0.000e+00 0.000e+00]
 [2.000e-01 4.008e+02 1.000e+00 1.980e+02]
 [2.000e-01 6.000e-01 5.990e+02 2.000e-01]
 [2.000e-01 1.974e+02 1.400e+00 4.010e+02]]","[0.04537524 0.15857896 0.00160226 0.23513223 0.00457679 0.00391441
 0.00507148 0.36959897 0.04938417 0.1267655 ]

[0.04783034 0.15937105 0.00152615 0.24595111 0.00456671 0.0040218
 0.00560818 0.36663771 0.04859072 0.11589623]

[0.0349142  0.16086443 0.00209731 0.25782563 0.00552509 0.00380797
 0.00506757 0.36632761 0.0475856  0.11598459]

[0.05807844 0.15972041 0.00125688 0.22367569 0.00450475 0.00286694
 0.00782975 0.36677454 0.04961954 0.12567306]

[0.04787407 0.15781369 0.0017673  0.24295669 0.00561401 0.00305094
 0.006718   0.36626194 0.06518278 0.10276058]

",
