header,dim_red,algo,params,train_fold,test_fold,train,test,confusion,mean_matrix
1,1,DT,{'max_depth': 7},"0.8514,0.8527,0.856,0.8507,0.8561","0.8417,0.8358,0.8367,0.8238,0.8183",0.8534,0.8313,"[[600   0   0   0]
 [  0 361   0 239]
 [  0   0 600   0]
 [  0 136   0 464]]

[[598   1   0   1]
 [  0 352   0 248]
 [  0   0 600   0]
 [  0 145   0 455]]

[[600   0   0   0]
 [  0 385   0 215]
 [  0   0 600   0]
 [  0 177   0 423]]

[[600   0   0   0]
 [  1 334   0 265]
 [  0   0 600   0]
 [  1 159   0 440]]

[[600   0   0   0]
 [  0 333   0 267]
 [  0   0 600   0]
 [  1 167   0 432]]

","[[599.6 0.2 0.0 0.2]
 [0.2 353.0 0.0 246.8]
 [0.0 0.0 600.0 0.0]
 [0.4 156.8 0.0 442.8]]"
1,1,ADA,"{'base_estimator': DecisionTreeClassifier(max_depth=3), 'n_estimators': 100}","0.8023,0.7989,0.803,0.8358,0.8121","0.7646,0.7588,0.765,0.7612,0.7712",0.8104,0.7642,"[[600   0   0   0]
 [  0 303   0 297]
 [  0   0 600   0]
 [  0 249   0 351]]

[[598   1   0   1]
 [  0 323   0 277]
 [  0   0 600   0]
 [  0 300   0 300]]

[[600   0   0   0]
 [  0 298   0 302]
 [  0   0 600   0]
 [  0 259   0 341]]

[[600   0   0   0]
 [  1 324   0 275]
 [  0   0 600   0]
 [  1 296   0 303]]

[[600   0   0   0]
 [  0 268   0 332]
 [  0   0 600   0]
 [  1 219   0 380]]

","[[599.6 0.2 0.0 0.2]
 [0.2 303.2 0.0 296.6]
 [0.0 0.0 600.0 0.0]
 [0.4 264.6 0.0 335.0]]"
1,1,GBoost,"{'max_depth': 3, 'n_estimators': 100}","0.9076,0.9047,0.9088,0.9061,0.9089","0.8388,0.84,0.8338,0.835,0.8333",0.9072,0.8362,"[[600   0   0   0]
 [  0 380   0 220]
 [  0   0 600   0]
 [  0 169   0 431]]

[[599   1   0   0]
 [  0 383   0 217]
 [  0   0 600   0]
 [  0 174   0 426]]

[[600   0   0   0]
 [  0 383   0 217]
 [  0   0 600   0]
 [  0 178   0 422]]

[[600   0   0   0]
 [  1 385   0 214]
 [  0   0 600   0]
 [  1 178   0 421]]

[[600   0   0   0]
 [  0 392   0 208]
 [  0   0 600   0]
 [  1 191   0 408]]

","[[599.8 0.2 0.0 0.0]
 [0.2 384.6 0.0 215.2]
 [0.0 0.0 600.0 0.0]
 [0.4 178.0 0.0 421.6]]"
1,1,Rand_F,"{'max_depth': 1, 'n_estimators': 100}","0.7928,0.7889,0.7688,0.7868,0.791","0.7875,0.7812,0.7704,0.7837,0.7858",0.7857,0.7817,"[[600   0   0   0]
 [  3 251   0 346]
 [  0   0 600   0]
 [  1 233   0 366]]

[[599   1   0   0]
 [  0 319   0 281]
 [  0   0 600   0]
 [  0 227   0 373]]

[[600   0   0   0]
 [  2 230   0 368]
 [  0   0 600   0]
 [  0 168   0 432]]

[[600   0   0   0]
 [  1 198   0 401]
 [  0   0 600   0]
 [  0 119   0 481]]

[[600   0   0   0]
 [  0 273   0 327]
 [  0   0 600   0]
 [  0 206   0 394]]

","[[599.8 0.2 0.0 0.0]
 [1.2 254.2 0.0 344.6]
 [0.0 0.0 600.0 0.0]
 [0.2 190.6 0.0 409.2]]"
1,1,SVM,"{'C': 1, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly'}","0.8109,0.8078,0.8107,0.8129,0.8118","0.7633,0.7654,0.7562,0.7692,0.7625",0.8108,0.7633,"[[600   0   0   0]
 [  0 324   0 276]
 [  0   0 600   0]
 [  0 276   0 324]]

[[598   1   0   1]
 [  0 322   0 278]
 [  0   0 600   0]
 [  0 273   0 327]]

[[600   0   0   0]
 [  0 302   0 298]
 [  0   0 600   0]
 [  0 285   0 315]]

[[600   0   0   0]
 [  0 317   0 283]
 [  0   0 600   0]
 [  0 276   0 324]]

[[600   0   0   0]
 [  0 318   0 282]
 [  0   0 600   0]
 [  0 291   0 309]]

","[[599.6 0.2 0.0 0.2]
 [0.0 316.6 0.0 283.4]
 [0.0 0.0 600.0 0.0]
 [0.0 280.2 0.0 319.8]]"
1,1,SGD,"{'alpha': 0.01, 'loss': 'log', 'penalty': 'l2'}","0.74,0.75,0.745,0.6483,0.6744","0.7408,0.7496,0.7467,0.6492,0.6767",0.7115,0.7126,"[[600   0   0   0]
 [  0 507  93   0]
 [  0   0 600   0]
 [  0 532  68   0]]

[[599   0   0   1]
 [  0   0   0 600]
 [  0   0 357 243]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0 600   0   0]
 [  0 600   0   0]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0 550  50   0]
 [  0 600   0   0]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0 600   0   0]]

","[[599.8 0.0 0.0 0.2]
 [0.0 461.4 18.6 120.0]
 [0.0 230.0 321.4 48.6]
 [0.0 466.4 13.6 120.0]]"
1,0,DT,{'max_depth': 3},"1.0,1.0,1.0,1.0,1.0","1.0,0.9996,1.0,1.0,1.0",1.0,0.9999,"[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[599   1   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  1 599   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

","[[599.8 0.2 0.0 0.0]
 [0.2 599.8 0.0 0.0]
 [0.0 0.0 600.0 0.0]
 [0.0 0.0 0.0 600.0]]"
1,0,ADA,"{'base_estimator': DecisionTreeClassifier(max_depth=1), 'n_estimators': 100}","1.0,1.0,1.0,1.0,1.0","1.0,0.9996,1.0,1.0,0.9996",1.0,0.9998,"[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[599   0   1   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  1   0 599   0]
 [  0   0   0 600]]

","[[599.8 0.0 0.2 0.0]
 [0.0 600.0 0.0 0.0]
 [0.2 0.0 599.8 0.0]
 [0.0 0.0 0.0 600.0]]"
1,0,GBoost,"{'max_depth': 1, 'n_estimators': 100}","1.0,1.0,1.0,1.0,1.0","1.0,0.9996,1.0,1.0,1.0",1.0,0.9999,"[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[599   0   1   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

","[[599.8 0.0 0.2 0.0]
 [0.0 600.0 0.0 0.0]
 [0.0 0.0 600.0 0.0]
 [0.0 0.0 0.0 600.0]]"
1,0,Rand_F,"{'max_depth': 3, 'n_estimators': 100}","0.9147,0.9857,0.9998,0.9908,0.9912","0.9158,0.98,1.0,0.9888,0.9925",0.9764,0.9754,"[[600   0   0   0]
 [  0 441   4 155]
 [  0   0 600   0]
 [  0  56   4 540]]

[[599   0   1   0]
 [  0 507   0  93]
 [  0   0 600   0]
 [  0  26   0 574]]

[[600   0   0   0]
 [  0 500   3  97]
 [  0   0 600   0]
 [  0 120   2 478]]

[[600   0   0   0]
 [  0 546   3  51]
 [  0   0 600   0]
 [  0  13   2 585]]

[[600   0   0   0]
 [  0 578   0  22]
 [  0   0 600   0]
 [  0   0   0 600]]

","[[599.8 0.0 0.2 0.0]
 [0.0 514.4 2.0 83.6]
 [0.0 0.0 600.0 0.0]
 [0.0 43.0 1.6 555.4]]"
1,0,SVM,"{'C': 10, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly'}","1.0,1.0,1.0,1.0,1.0","0.9992,0.9983,0.9988,0.9992,0.9992",1.0,0.9989,"[[600   0   0   0]
 [  0 535   0  65]
 [  0   0 600   0]
 [  0   2   0 598]]

[[598   1   0   1]
 [  0 510   0  90]
 [  0   0 600   0]
 [  0   3   0 597]]

[[600   0   0   0]
 [  0 542   0  58]
 [  0   0 600   0]
 [  0   3   0 597]]

[[600   0   0   0]
 [  0 541   0  59]
 [  0   0 600   0]
 [  0   2   0 598]]

[[600   0   0   0]
 [  0 560   0  40]
 [  0   0 600   0]
 [  0   2   0 598]]

","[[599.6 0.2 0.0 0.2]
 [0.0 537.6 0.0 62.4]
 [0.0 0.0 600.0 0.0]
 [0.0 2.4 0.0 597.6]]"
1,0,SGD,"{'alpha': 0.01, 'loss': 'perceptron', 'penalty': 'l2'}","1.0,1.0,1.0,1.0,1.0","0.9996,0.9992,0.9988,0.9996,0.9996",1.0,0.9994,"[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[598   1   0   1]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   1 599   0]
 [  0   4   0 596]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

","[[599.6 0.2 0.0 0.2]
 [0.0 600.0 0.0 0.0]
 [0.0 0.2 599.8 0.0]
 [0.0 0.8 0.0 599.2]]"
